num,title,subtitle,level,reps_label,reps,works,benefits,imagery,placement,movement,breath,tips,caution,thumb1,thumb2,thumb3,thumb4,thumb5,thumb6,qr_code
56,Hundreds 2,legs  at 45,2,REPS,100,"Works: Core, quariceps, shoulder stabilizers
","
Benifits:Expands lung capacity, builds deep abdominal strenght, strengthens hips","Picture yourself like a bongo drum -your arms pumping out a steady beat, and your core is a strong, steady rhythm behind it all


.","Lying on your back
Legs are glued toghter at 45 degrees
Arm are to your sides","From starting position
Curl your head ,neck and shoulders slightly off the mat
Extend both arms palms facing down 
Pump the arms up and down about 6 inches","Inhale for 5 counts
Exhale for 5 counts
Repeat for 10 full cycles=100 pumps",Reach the legs long down the wall and maintain alignment through the pelvis as you pump the arms. Move with control and steady rhythm rather than tension.,"Caution:If you feel neck strain, lower your head down for support, keep the shoulders relaxed and continue the arm pumps.Avoid rocking or shifting. Walk the hands smoothly up and down the wall with control. Maintain strong shoulder stability and steady alignment as you move through each repetition.",,,,,,,
57,Pushups 2, deeper,2,REPS,10,"Works: chest (pectorals), shoulders (deltoids), arms (triceps)
","
Benefits: Improves posture, supports joint health, easemenopause symptoms",Imagine you’re climbing rung by rung—each hand step takes you higher with control.,"Stand facing the wall.

Place your hands on the wall with straight arms, slightly below shoulder height.

Legs are parallel, hip-width apart.

","Bend your elbows, lowering your chest toward the wall into a push-up position.

Press away from the wall, then walk your hands up — 1, 2, 3, 4 — and back down — 2, 3, 4.

Maintain a slightly planked position the entire time, keeping your body in one long line.","
Inhale to prepare.
Exhale to bend your elbows.

Inhale as you walk your hands up, two, three, four.
Exhale as you walk your hands down, two, three, four.",Walk the hands smoothly up and down the wall with control. Maintain strong shoulder stability and steady alignment as you move through each repetition.,Caution:Avoid letting your lower back sag as you walk your hands up and down the wall. Protect your spine by engaging your abdominal maintainin alignment.,,,,,,,
58,Hip Opener 3, controlled  hip rotation,2,REPS,5,"WORKS: hip flexors, glutes, obliq","

BENEFITS: strengthens legs, improves balance, enhances posture, increases mobility","“Move like honey—smooth, slow, and controlled. Feel the warmth and flow as your hip melts into each curve of the figure eight.”","Begin standing in neutral spine with feet parallel, hip-width apart; place one hand lightly on the wall for support while the opposite arm extends out to the side.","Lift the knee forward, open it out to the side, sweep it down and slightly back, then circle it up again, tracing a smooth figure-eight pattern.","Inhale to lift the knee forward, exhale to lower it down and back; inhale to lift again, exhale to return with control.","Keep your torso upright and pelvis steady as the leg moves; make the figure eight smooth and continuous, focusing on control and precision rather than range.","Avoid letting the hips hike or the torso sway as the leg circles; keep the controlled, maintain alignment, and stay within a comfortable range.",,,,,,,
59,combo12,,,,,,,,,,,,,,,,,,,
60,Pushup 3,stability hold,2,,hold,"WORKS: chest, triceps, core
","
BENEFITS: improves upper-body strength, enhances shoulder stability, boosts balance and body control","think of your body hanging from invisible cables, everything tight and lifted, supported evenly","Stand facing the wall

Arms straight, hands on the wall just below shoulder height

Legs hip-width apart, in parallel

Maintain a neutral spine

Keep shoulders relaxed and core lightly engaged
","

Bend both elbows into push-up position.

Reach one arm out to the side and hold.

Return it to the wall.

Switch sides and repeat.","Inhale to prepare.
Exhale as you bend your elbows and move into the hold position.
Inhale 2, 3, 4 to maintain the hold.
Exhale 2, 3, 4, 5 as you deepen the work or hold as long as comfortable, then switch sides","  :Maintain strong alignment as you press. Keep your hips square to the wall, distribute weight evenly through your supporting arm, and move slowly with steady control.","Caution:   Use precise control. If you feel unstable or lose alignment, shorten the range of motion. Prioritize strong form over depth.",,,,,,,
61,Leg Swings 2, straight leg,2,REPS,10,"Works: Core stabilizers, glutes, hamstrings.","
Benefits: Hip mobility, energy boost, postural alignment",,"Standing sideways to the wall, in neutral spine
Hand on the wall slithly lower than shoulder height with elbow bent.
Legs are parellel hip wigth apat.

","
Fromstarting position 
swing your leg forward in a smooth motion
Swing leg back in a smooth motion
","
Inhale as you swing tghe leg forward
Exhale as you swing the leg back","Keep torso tall and steadt, let the leg swing freely from the hip, aim for smooth ,even arcs from the hip","Avoid swinging the leg with momentum or letting the lower back arch; keep the controlled, pelvis steady, and stay within a comfortable range.",,,,,,,
62,dead bug standing,,2,,hold,"WORKS: hip flexors, abs, quadriceps

","

BENEFITS: strengthens core stability, improves coordination, enhances postural control against the wall","As you lift your leg, imagine a string pulling your kneecap up from the ceiling, smooth and effortless.”","• Begin in a wall-sit position.
• Arms are straight ahead at shoulder height.
• Head, ribcage, and sacrum are gently touching the wall.
• Legs are hip-width apart and parallel.
","
Begin in a wall sit position with arms extended straight ahead.
Shift your weight slightly into your standing leg.
Lift the opposite knee toward hip height while maintaining your back connection to the wall.

Lower the leg with control and switch sides.","
Inhale to prepare

Exhale to lift the leg

Inhale to lower it back down

Keep the breath smooth and continuous — not a long hold","Begin standing in neutral spine, shift your weight into your standing leg, and find a steady base before lifting the opposite leg and arm.","Avoid arching the lower back or shifting side to side; keep your core engaged, pelvis stable, and move with slow, controlled coordination.",,,,,,,
63,Lunge 2,Stability lunge,2,REPS,10,"WORKS: quadriceps, glutes, core

","

BENEFITS: strengthens legs, improves balance, enhances posture, increases mobility","Easy down, effortless up. Let the feel smooth, not forced. Imagine you’re gliding on air, lifted by lightness rather than effort.","Stand facing away from the wall with your hands on your hips.
Place one foot on the wall behind you with the knee bent.
Keep both legs parallel and your standing leg directly under your hip.

Maintain a neutral spine with your head, ribcage, and pelvis aligned.
","Movent
Bend your front knee and lower straight down, keeping your back heel light.
Press through your front heel to rise back up to standing.

Repeat, keeping hips square and slow and steady.


","
Inhale as you lower down
Exhale to come up","Maintain steady alignment as you bend and straighten the standing leg; press the wall foot gently for support and move with slow, controlled precision.","Caution: Work in a pain-free  If discomfort appears, reduce the range or adjust your position.",,,,,,,
64,Hundreds 3, Lower legs,3,REPS,100,"Works: Abs, hip flexors, and spinal stabilizers.
","
Benefits: Improves circulation and posture, supports calm breathing, eases stress and tension related to menopause, enhances overall body awareness.","Picture your legs as long and light, stretching from your center.
Energy flows through them, steady and effortless, as if you could stay here forever.","Lie on your back in neutral spine.

Place your feet about six inches up from the wall.

Keep your legs glued together in parallel.

Rest your arms by your sides.","

Curl up into your C-curve.

Lift head, neck, and shoulders off the mat.

Begin pumping the arms, keeping the motion small and controlled.

Arms move about six inches up and down, palms facing down.

Maintain steady rhythm and core engagement throughout.","Take a slow inhale for 2, 3, 4, 5 and a slow exhale for 2, 3, 4, 5.

The arms are pumping at half-time to the breath, keeping the rhythm steady and controlled.

Complete 10 sets for a total of 100 counts.","Maximize your breath capacity—inhale deeply through the nose, then exhale fully through the mouth. Let the breath drive the rhythm and support endurance.",Avoid lowering the legs so far that your lower back lifts or strains; keep the abdominals engaged and raise the legs if needed.,,,,,,,
65,Bridge 7,leg swipe,3,REPS,10,"Works: glutes, hamstrings, core

","

Benefits: strengthens the hips and back, improves posture and stability, supports better circulation","Your leg is a flag lifting tall, fluttering out with control, then returning to center. Keep your hips steady like the flagpole.","Lie on your back in a bridge position with your feet pressing into the wall.

Knees are bent to about 90 degrees, hips lifted so your body forms a straight line from shoulders to knees.

Arms are long by your sides, palms down, and your spine is in neutral.","Start in your bridge position with feet on the wall and arms to your sides.

Lift one leg up to 90 degrees, keeping hips level.

Take the leg out to the side away from midline, maintaining control.

Bring the leg back to 90 degrees and repeat before switching sides.","Exhale in bridge

Inhale lift the leg to 90

Exhale out to the side

Inhale pause

Exhale bring it back to center"," Keep the hips level as the leg circles. Maintain breath in motion to support stability, refining the circle with control and precision each repetition."," Caution:Avoid letting the hips twist or drop as the leg circles. If the pelvis shifts or wobbles, make the circle smaller to maintain control.",,,,,,,
66,Heel Slides 3  |  Double legs,,2,REPS,10,"abdominals, hip flexors, quads","abdominals, hip flexors, quads","Tides at the Shore – one wave comes in as the other flows out, a continuous ebb and flow.","Lie on your back in neutral spine.

Legs are hip-width apart and parallel.

Hands are on the wall about six inches up.

Elbows are slightly bent, shoulders relaxed.","
Start with both legs extended straight out from your body

Pull both knees in toward your chest

Reach both legs out again to the starting position","
nhale to prepare

Exhale to bring both legs to center

Inhale to return the legs back out"," This is the most advanced heel slide. Press both legs out evenly, maintain alignment, and return slowly with controlled, precise .", Caution:Keep a neutral spine and pelvis as the heels slide. Avoid arching or tucking the lower back; maintain steady alignment of heels and controlled .,,,,,,,
67,Double Leg Lift,,3,REPS,10,"Works:
Abdominals, hip flexors, core stabilizers 
","
Benefits:
Improves core control and stability, supports healthy spine alignment.","move like you’re gliding through warm water—calm, fluid, and strong. Keep the control smooth both ways, letting the warmth support your strength.","Lie on your back in neutral spine.

Legs are glued together and lifted to 90 degrees.

Hands press gently into the wall about six inches up, elbows bent.","Start with your legs lifted to 90 degrees.

Lower both legs together, keeping your pelvis neutral and back stable.

Bring your legs back up to 90 degrees with control.","
Inhale to lower your legs, feeling length and control.

Exhale to bring them back up, drawing strength from your center.

Let the breath guide your —steady, supported, and strong.","Lower both legs with control, then draw them back to 90° using your abdominals, as if dragging the legs upward from your center.","Caution:Keep your pelvis neutral as both legs lower and lift. If your back arches or your pelvis shifts, reduce the range of motion. Move with control.",,,,,,,
68,combo 14,,,,,,,,,,,,,,,,,,,
69,fROGS 2       WE NEED A 5 PICTURE FOR THIS |  Right,,2,REPS,10,,,,,,,,,,,,,,,
70,Frog 3  need a 5  for that too    |  Left,,,,,"Works: Core, shoulders, lats
","Strengthens inner thighs, improves hip mobility, and enhances control and coordination.","Imagine your body is a strong, steady bridge bridge over a river. Gently the foot lifs up like a leaf on the river","Forarms in a plank position with shoulders ove elbows
Neutral spine witg gaze down
Feet on wall hip width apart in parealle

fff
lll","Improves inner thigh strength, hip mobility, and controlled coordination.","Inhale to prepare, exhale to extend the legs up; inhale for the three heel clicks, exhale to bend and return to start.",Focus on engaging the inner thighs and deep rotators rather than forcing the heels to touch; keep the pelvis steady and prioritize connection over range.,"Avoid forcing the heels together or pushing into the knees; keep the controlled, maintain pelvic stability, and stay within a comfortable range.",,,,,,,
71,Single Leg up and down    Right,,1,REPS,10,"Works: core, lower abdominals, hip flexors
","
Benifts supports spine alignment, and helps ease tension often felt during menopause.","“Think of your legs like pistons—one stable, the other moving with precision and control.”","Lie on your back in neutral spine.

One knee is bent at tabletop, the other leg extended straight up at 90 degrees.

Both hands press against the wall about six inches up, elbows bent.","From your starting position.

Engage your core to keep your pelvis neutral.

Bring the straight leg down with control.

Return the leg back up to 90 degrees.","Inhale to lower your leg with control

Exhale to bring it back up to 90 degrees

Keep the breath smooth and steady, matching and breath for precision and flow","Inhale to lower your leg with control

Exhale to bring it back up to 90 degrees

Keep the breath smooth and steady, matching and breath for precision and flow"," Caution: If your shoulders feel uncomfortable, adjust your hand . Move the hands slightly higher or wider on the wall to find a more comfortable angle.",,,,,,,
72,Leg Cirles 2 |  Left,ee,2,REPS,10,"Works: core, hip flexors, inner thighs
t","

Benefits: improves hip mobility and core control, enhances coordination and balance, promotes smooth and fluid leg motion for graceful ","Imagine your toes tracing a perfect glowing sun on the ceiling, steady and radiant.","Lie on your back in neutral spine.

Both legs are straight — one on the floor, the other lifted to 90 degrees.

Place your hands on the wall about six inches up from the floor.

Keep your elbows softly bent.
fff
lll","Keep your leg straight and your hip anchored to the mat.
Slightly cross the midline of your body without letting the hip lift.
Reverse
Sweep the leg out to the side, keeping control through the range of motion.

Return to center, stopping at 90 degrees.

Reverse the direction, maintaining a steady pelvis and smooth motion.


ddlfl;dk","
First direction:

Inhale as you cross midline

Exhale as you take the leg out to the side and return to center

Reverse direction:

Inhale as you take the leg out to the side

Exhale as you bring it down and up to center",Focus on the non-working leg pressing firmly into the floor. Keep it long and grounded to stabilize your pelvis as the other leg circles.,Caution:Avoid compensating through the hips. Keep the pelvis quiet and stable so the stays isolated in the working leg.,,,,,,,
73,combo 15,,,,,,,,,,,,,,,,,,,
74,Curl up 2 |  Left,,2,REPS,10,"Works:Glutes, hamstrings, core. ",". Benifits Improves posture and circulation,  and boosts mood and energy.","“Picture your upper body spiraling up out of your center, light and strong.”","Feet on the wall in tabletop position

Hands behind your head, elbows wide
In neutral spine","

From your starting position, rotate your torso to the left.

Reach your right arm on a diagonal toward your left knee.

Continue curling up through your upper body, deepening the contraction as you reach.","
Inhale to prepare.

Exhale as you twist.

Inhale to return to center.

Exhale as you twist to the other side."," Keep your legs firmly planted on the wall and focus on a deep abdominal scoop. Lift head, neck, and shoulders smoothly, maintaining control without pulling on the neck.",Caution:Avoid lifting the shoulders toward your ears as you curl up. Keep the neck long and the head supported to prevent unnecessary tension.,,,,,,,
75,combo 16,,,,,,,,,,,,,,,,,,,
76,Hey girl,,,,,,,,,,,,,,,,,,,
77,Kicks facing out  |  Left,,3,REPS,10,"Works: posterior chain (glutes, hamstrings, core).
",".
Benefits: Builds balanced strength through the back of your body, improves alignment, and supports healthy posture.","Channel your inner Rochette.
Kick with precision, sparkle, and just a hint of showtime flair.","Stand facing away from the wall, heels a few inches out.

Legs are parallel and hip-width apart.

Press the back of your head and shoulder blades gently into the wall.

Extend your arms out to the sides in a T position, palms facing backward.","

From your standing position, kick one leg forward at hip height, then lower it with control.

Alternate legs in a smooth, rhythmic motion, keeping your upper body tall and steady against the wall.

Think length and precision—each kick extends energy through your toes without locking your knees.","
Inhale to prepare.

Exhale to kick the leg up.

Inhale to lower it down.

Exhale to kick up the other leg, keeping the momentum strong and controlled."," Focus on length through the kicking leg and maintain a smooth, steady rhythm. Let the leg lift lightly, keeping the fluid and controlled.",Caution:Avoid locking the knee or snapping the leg up with momentum. Don’t let the hips twist or the standing leg lose stability. Move with control.,,,,,,,
78,Back Extension 3  |  Right,,3,REPS,10,"Works: posterior chain, glutes, hamstrings

","

Benefits: Builds strength along your back body, improves posture and hip stability, and enhances control through the lift and balance of one leg.","“Imagine you’re a marble statue coming to life.”
You lift your leg with control, every line precise,","Facing out, away from the wall
• Legs hip-width apart, in parallel
• Forearms on the wall with elbows bent","

Press your forearms into the wall as you lift your chest.

Extend one leg forward with a bent knee, keeping your chest lifted.

Return the leg and switch sides with control.","

Exhale to prepare

Inhale as you lift the chest and leg

Exhale to bring them down"," Keep the standing leg strong and grounded. A clear weight shift helps you lift the bent leg lightly while maintaining a tall, open back extension.","Caution:Avoid straining the neck or compressing the low back. Keep the back extension moderate and supported by the back muscles, not forced.",,,,,,,
79,Bridge 5 |  walking,,2,REPS,10,,,"“Imagine your feet tiptoeing over warm sand” — light, controlled, and rhythmic.",,,," Use strong glute engagement and full posterior support to stabilize the bridge while the feet travel, keeping the hips lifted and steady.","Cautain:Avoid forcing excessive height in the bridge. Progress the wall walk gradually,keeping the hips stable and thespine supported to prevent lumbar compression.",,,,,,,
80,Teaser 1 |  Right,,3,REPS,10,"Works: glutes, hamstrings, core
","
Benefits: improves balance, strengthens the posterior chain, and supports better posture","“Rise like a kite catching wind—steady, strong, and balanced by your core.”","Lie down on your back with a neutral spine.

Extend your arms out to the sides in a T position, palms facing up.

Legs are lifted about 45 degrees from the floor, in parallel.","Begin lying on your back with your arms at your sides, palms facing down.

Bring your chin toward your chest as you lift your head and shoulders off the mat.

As you rise, reach your arms forward and slightly upward, continuing to roll through your spine.

Come into your teaser shape, with your arms parallel to your legs and your legs extended at about a 45° angle.

From the top, roll down with control, keeping your arms reaching forward until your shoulders and head return to the mat.","
Inhale to prepare, feeling length through the spine.

Exhale as you roll up into your teaser, connecting through the core.

Inhale at the top to find lift and balance.

Exhale to roll down with control, bone by bone.","Press the shoulders down to support the lift, engage the core before moving, and roll up with control, keeping the smooth and connected.","Avoid using momentum or “heave-ho” to get up; if you can’t reach the full position, work within a smaller range and build strength gradually.",,,,,,,
81,combo 17,,,,,,,,,,,,,,,,,,,
82,Leg Curls 2 |  Left,,2,REPS,10,"Works: hamstrings, glutes, core
","
Benefits: strengthens the back line of the body, builds stability through the shoulders and trunk","“Picture your body as a long, sleek line of energy, your leg curling in to fire up the back of your body.","Start in a small plank with your forearms on the floor.

Elbows are directly under your shoulders or slightly lower.
Keep your body in one long, straight line from heels to head, with heels pressed down and core engaged.
Your body forms one straight line from head to heels, with your heels pressing down for stability.
","
Begin in a small plank with forearms on the wall and body in one straight line.
Bend one knee, drawing your heel toward your glutes.

Extend the leg back to the wall with control.

","
 Inhale to prepare.
Exhale to bring the heel toward the glute.
Inhale to lower the leg back down.","Keep your elbows light on the wall, maintain a steady line from head to heels, engage your core for stability, and move with smooth, steady control.",,,,,,,,
83,Spine Twist 2,,2,REPS,10,"WORKS: obliques, spinal rotators, deep core

BENEFITS: Builds strength and mobility through your waist. Helps you twist with control for better posture.",,"Picture your spine like a smooth slinky, coiling gently as you pulse — one, two, three — then uncoiling back to its full height.","Sit tall with your back straight and spine lifted.

Feet are pressed firmly against the wall, legs glued together.

Extend your arms out to the sides in a T position.

Palms face the wall, shoulders relaxed and open.
","With feet pressing into the wall and arms out to the sides, rotate your torso as far as you can, then take three small pulsing rotations slightly deeper before returning to center.","
Inhale to rotate.

Three short exhales to deepen the twist.

Inhale to return to center.

Exhale to pause and stabilize.

Inhale to rotate to the other side.",Focus on initiating the twist from your obliques and upper back. Keep both feet grounded on the wall so the stays above the hips.,Caution:Avoid twisting from the hips or letting one foot lift off the wall. Keep the controlled and supported through the waist.,,,,,,,
84,Teaser 2  |  Left,,3,REPS,10,"WORKS: abs, hip flexors, spinal extensors

BENEFITS: Builds core strength and improves balance and coordination.","Builds core strength, improves shoulder stability, and increases control during the roll-down phase.",. “Your arms are extensions of your center—lift them without losing the depth of your core.”,Your arms are extensions of your center—lift them without losing the depth of your core.”,. “Your arms are extensions of your center—lift them without losing the depth of your core.”,"
Inhale to prepare.

Exhale as you lift into your V-sit.

Inhale as your arms reach by your ears.

Exhale as you roll down with control.", Draw the shoulders firmly down your back and pull strongly into your abdominals. Let the core lift and support the position without gripping the neck., Draw the shoulders firmly down your back and pull strongly into your abdominals. Let the core lift and support the position without gripping the neck.,,,,,,,
85,combo 18,,,,,,,,,,,,,,,,,,,
86,Standing on one leg front|  Left,,3,,hold,"Works: glutes, hip flexors, core

","Strengthens hip flexors, improves single-leg stability, and enhances balance and control.","Hey girl, think of your leg as your balance dance. When it reaches front, it’s your moment to stand tall and lead with confidence.","Hey girl, think of your leg as your balance dance. When it reaches front, it’s your moment to stand tall and lead with confidence.","
Lift one leg out to the side, keeping both legs parallel.

Hold for a moment, staying tall through your spine and centered over your standing leg.

Keep your hips level and your balance steady.","Breathe naturally, maintaining a steady rhythm as you hold the position.","Stand tall through the supporting leg, engage your core, and keep the pelvis level as you hold, maintaining steady balance without gripping.","Avoid locking the standing knee or leaning into the wall; keep joints soft, pelvis level, and maintain controlled, stable alignment throughout the hold.",,,,,,,
87,Standing on one leg side |  Right,,3,,hold,"Works: glutes, outer thighs, core
","
Benefits: Builds hip stability and balance, tones the sides of your hips, and improves alignment.","When your leg sweeps to the side, you’re expanding your space — opening up to all the strength and balance surrounding you.","Stand facing the side with legs parallel.

Place one hand on the wall slightly below shoulder height, elbow softly bent.

Extend the other arm out to the side, also slightly below shoulder height.
","
Lift one leg out to the side, keeping both legs parallel.

Hold for a moment, staying tall through your spine and centered over your standing leg.

Keep your hips level and your balance steady.","

Inhale to prepare

Exhale to bring the leg up

Inhale at the top

Exhale to take it down", Lengthen through the standing leg and grow tall through the spine. Let the lifted leg float outward while maintaining steady hips and deep core support.,Avoid leaning into your standing leg or hiking the lifted hip; keep the pelvis level and avoid gripping through the outer hip or lower back.,,,,,,,
88,Standing on one leg Back|  Left,,3,,hold,,"Works: , hamstrings, back extensors

Benefits: Strengthens the back of the body for better balance andposture, improves hip stability,",“Visualize your back leg painting a line of energy behind you,"Stand to the side of the wall

Place one hand on the wall slightly below shoulder height

Keep your elbow soft

Extend the other arm out to the side
fff
lll","
Stand tall beside the wall.

Bring your outside leg back behind you, keeping both legs parallel.

Lower the leg down with control, maintaining your posture.


","
Inhale to prepare

Exhale to bring the leg back

Inhale at the top (or when the leg is extended)

Exhale to return to start","Lift up and out of your lower back as the leg reaches back, keeping the pelvis square and the standing leg strong without collapsing or gripping.",Avoid arching or gripping through the lower back as the leg lifts; keep the pelvis stable and move from the hip within a controlled range.,,,,,,,
89,Quad Stretch|  Right,,1,,hold,"Works: quads, hip flexors, core
","
Benefits: releases front-body tension and supports circulation and mobility during menopause.","“Imagine your lifted leg as a bowstring being gently drawn back—strong, steady, and full of controlled energy.”","Begin standing facing the wall in neutral spine with feet hip-width apart and parallel, placing your hands just below shoulder height for support.","Bend one knee and reach back to hold your ankle, drawing the heel toward your seat while keeping the knees aligned and torso upright.","Breathe naturally, allowing each exhale to deepen the stretch without forcing the position.","Keep the knees aligned and legs parallel, avoiding any hip hiking; stay tall through the torso and gently draw the heel in without forcing.","Avoid pulling the foot aggressively or letting the knee drift outward; keep the pelvis neutral and stay within a comfortable, pain-free range.",,,,,,,
90,combo 19,,,,,,,,,,,,,,,,,,,
91,Hey girl,,,,,,,,,,,,,,,,,,,
92,Roll Over  |  Left,,3,REPS,10,,"Improves spinal mobility, strengthens the core, and enhances control and articulation through the spine.","“Trace an arc on the ceiling with your toes, carving through the air with control and power.","Lie on your back in a neutral spine position.

Place your feet on the wall slightly higher than a 45-degree angle.

Keep your legs together and parallel.

Rest your arms by your sides with your palms facing down.","Lift legs to 90°.

Roll hips up and over, reaching legs toward the floor.

Lift slightly, then roll down with control.","
Inhale to prepare.

Exhale as you take your legs up and over.

Inhale to lift them slightly.

Exhale to roll down.", Use your breath to support the . Feel the abdominals deepen as the legs lift and roll over with control and connection.,Caution:Avoid throwing the legs overhead. Lift with control through the abdominals. Stop if you feel pressure in the neck or cervical spine.,,,,,,,
93,Bridge 8  |  walking with arms at 90,,3,REPS,10,"Works: glutes, hamstrings, core, shoulders

","

Benefits: Builds full-body control and coordination, strengthens the posterior chain, and challenges stability by adding arm engagement.","Be a bridge—steady, lifted, unshakable. Walk up with strength, down with control.","Begin in bridge with feet on the wall and hips lifted.

Arms press into the mat beside you, shoulders grounded and spine long.
","Start in your bridge position.

Lift your arms to 90 degrees.

Walk your feet up the wall for four counts.

Walk your feet back down for four counts.

Keep your hips lifted in bridge.","Inhale to lift the arms to 90.

Exhale to walk the feet up the wall, keeping the hips lifted.

Inhale to lower the feet down with control.", Focus on strong support through the back body. Glutes and hamstrings help maintain height and stability as the feet travel upward. Avoid shifting the load into your neck or shoulders.,"Strengthens glutes and hamstrings, improves spinal articulation, and builds control and coordination through dynamic footwork.",,,,,,,
94,NEED A 5 SPOT   twist 3 |  Left,,3,REPS,10,,,,,,,,,,,,,,,
95,Dead Bug 2,,3,REPS,10,"Works: glutes, hamstrings, core

Benefits: strengthens the posterior chain, improves pelvic stability, enhances coordination between upper and lower body for better balance and posture","Works: glutes, hamstrings, core

Benefits: strengthens the posterior chain, improves pelvic stability, enhances coordination between upper and lower body for better balance and posture","“As if invisible strings lift your limbs like a marionette—light, balanced, and perfectly still.”","Start in your bridge position with your arms lifted to 90 degrees, palms facing each other.

Feet are hip-width apart on the wall, knees bent at about 90 degrees.

Keep your ribs in, spine neutral, and gaze toward the ceiling.","From your bridge position with arms lifted to 90, lift one leg with the knee bent to tabletop.

Hold as long as you can, then lower the leg with control and repeat on the other side.
From your bridge position with arms lifted to 90, lift one leg with the knee bent to tabletop.

Hold as long as you can, then lower the leg with control and repeat on the other side.
From your bridge position with arms lifted to 90, lift one leg with the knee bent to tabletop.

Hold as long as you can, then lower the leg with control and repeat on the other side.","Once you lift the leg into your dead bug position

Inhale for 4 counts

Exhale for 5 counts

Continue as many rounds as you can while maintaining control"," Aim for full-body integration. Let the core, breath, and limbs coordinate so the feels supported, controlled, and connected.", Caution:Avoid letting the hips drop or the low back arch as the leg moves; maintain steady muscle activation through the glutes and abdominals. ovesllosinpelvicstability.,,,,,,,
96,combo 20,,,,,,,,,,,,,,,,,,,
97,Plank 2 |  Right,,3,REPS,10,"Works: core, glutes, shoulders
","
Benefits: builds stability and balance, strengthens postural support, and enhances overall body control and endurance","Imagine you’re a sleek arrow, your body a long, steady line from head to heel.","Start in a plank position with your feet pressing into the wall.

Place your elbows directly under your shoulders with your forearms flat on the mat.

Maintain a neutral spine, core engaged, and gaze down toward the floor

","
From your plank position with feet on the wall, lift one leg slightly off the wall, keeping the hips square and the core steady.

Lower it with control, then lift the other leg.

Keep your neck long and gaze down to maintain a neutral spine throughout.","

Once you lift the leg, inhale, one, two, three, four, exhale, one, two, three, four, five.

Continue for as many rounds as you can before switching sides."," Press firmly through your forearms and grounded foot as the other leg lifts, keeping the hips level and the abdominals active to maintain a steady plank.",Caution:Avoid shifting or twisting through the hips to compensate for the lifted leg. Keep the pelvis steady and maintain even muscle activation.,,,,,,,
98,Straddle 2  |  Left,,3,REPS,10,"Works: obliques, core, spinal stabilizers
","
Benefits: strengthens the core, improves rotation, builds balance","“Imagine you’re a starfish soaking up the sun, stretching wide and alive from the center out.”","Lie on your back in neutral spine, hips close to the wall

Legs are extended in a wide straddle against the wall

Arms reach out to the sides in a T position, palms up

Keep shoulders active and chest open
","

Start in your straddle position, hips close to the wall.

Reach one hand up toward the opposite leg, lifting through the chest and engaging the obliques.

Lower back down with control.

Repeat on the other side, alternating sides smoothly.","

Inhale to prepare,

Exhale as you reach your arm up,

Inhale to return to center,

Exhale to reach to the other side.","  As you reach toward the foot, keep refining the , focusing on steady hips and a controlled, lengthened straddle. Maintain a sense of lift through the torso.",Caution:Avoid forcing the stretch or bouncing toward the foot. Stay intentional with the and stop before the hips or low back begin to strain.,,,,,,,
99,combo 21,,,,,,,,,,,,,,,,,,,
100,Bridge 7 |  Left bridge 7 and 8 are te same,,3,REPS,10,,,"“Imagine your leg resting in tall grass, the wind carrying it gently away and then back to center.”",,,,,,,,,,,,
101,Chris Cross  |  Right,,3,REPS,10,"Works: obliques, core, hips
","s
Benefits: tones your waist, boosts circulation, supports hormonal balance during menopause","Picture your spine as a ribbon spiraling smoothly, guiding your elbow and knee toward one another with intention.","Feet on the wall, glued together, legs at about 45 degrees

Neutral spine, core engaged

Hands behind your head, elbows wide","
Curl head, neck, and shoulders off the mat as one leg lifts from the wall.

Rotate from your upper back, bringing your armpit toward the opposite knee.

Switch sides in a smooth, controlled bicycle motion, keeping the even and steady.","

Inhale for two twists, exhale for two twists.

Feel the rhythm: Inhale, inhale — exhale, exhale as you twist side to side.","Move from the waist rather than the elbow, rotating through the obliques while keeping the opposite leg actively pressing into the wall. Focus on a smooth rotation","Move from the waist rather than the elbow, rotating through the obliques while keeping the opposite leg actively pressing into the wall. Focus on a smooth rotation",,,,,,,
102,Plank 3,,3,REPS,10,"Works: chest, shoulders, triceps, core
Benefits: builds strength, improves posture, and boosts stability.","
Benefits: builds strength, improves posture, and boosts stability.",Think of pressing energy into the ground as you lift strong and steady.,"Legs glued together, feet on the wall

Neutral spine

Hands directly under shoulders

Arms straight","
Bend your elbows out to the sides, keeping your feet steady on the wall.

Press through your hands into the floor to straighten your arms, lifting through the chest and engaging your core.","
Inhale to bend your elbows.

Exhale to press through your hands and straighten your arms — think of that deep internal shower Joseph Pilates described, cleansing from the inside out."," Use the exhale to deepen core engagement as you press up, helping stabilize the plank and support the shoulders. Keep reaching energy through the heels. "," Use the exhale to deepen core engagement as you press up, helping stabilize the plank and support the shoulders. Keep reaching energy through the heels.",,,,,,,
103,combo 22,,,,,,,,,,,,,,,,,,,
